Columna,Descripción,Dato,Observación,,,
variable ,Código de la variable,Texto,Debe coincidir con la codificación de la pregunta en el formulario KoboToolBox,,,
desc ,Descripción de la variable,Texto,,,,
alias ,Alias para describir la variable ,Texto,Alias que será utilizado para nombrar las variables en archivos de salida de resultados,,,
level ,Nivel de la pregunta,segment / parcel,Indica si la pregunta corresponde a nivel de Segmento o Parcela,,,
section ,Sección de la variable,Texto,Indica la sección a la que pertenece la variable,,,
scale ,Escala de la variable,Texto,Indica la escala a la que pertenece la variable,,,
subscale ,Sub-escala,Texto,Indica la sub-escala a la que pertenece la variable,,,
aggregate ,Agregación,TRUE / FALSE,indica si la pregunta es agregada desde otras preguntas,,,
aggregate_ref ,Referencia de agregación,variable,Inidca el código de la pregunta a la que se agrega la variable actual,,,
type ,Tipo de cálculo,TIPO ,Indica el tipo de calculo sobre la variable,,,
,,bool,Asigna un valor de acuerdo al valor booleano de la variable: ej ,True=1 False=0,,
,,formula,Asigna un valor de acuerdo a una fórmula,([value]/[segment_length])*100,,
,,max,"En preguntas de agregación, indica que asigna el máximo valor de las preguntas agregadas",,,
,,min,"En preguntas de agregación, indica que asigna el mínimo valor de las preguntas agregadas",,,
,,avg,"En preguntas de agregación, indica que asigna el valor promedio de las preguntas agregadas",,,
,,count,"En preguntas de agregación, indica que asigna número de preguntas agregadas",,,
,,num_in_parcels,"Asigna el valor agregado de número de parcelas que tienen la variable, se procesa como una pregunta numérica",,,
,,numeric,Asigna un valor de acuerdo a reglas aplicadas al valor numérico de la variable ej:,"(>=0, <0.9)=0",(>=0.9)=1,*=0
,,option,Asigna un valor de acuerdo a reglas sobre cadena de texto de la variable ej:,A=0:En acera,B=1:En calzada,C=0:No existe
,,proportion_building,"Asigna un valor de acuerdo a la proporción de la ocurrencia de la variable en las parcelas construidas, para el número de parcelas construidas, se calcula como un valor numérico","(>0, <=0.25)=0","(>0.25, <=0.75)=1",*=0
,,slope,Aplica reglas de valor numérico sobre el valor de porcentaje de la pendiente del segmento de calle,"(>=0, <=0.05)=0 (>0.05, <=0.1)=-1",,
required ,Requerido,TRUE / FALSE,Indica si la pregunta es obligatoria para el cálculo,,,
sum_type ,Tipo de operación ,POSITIVE / NEGATIVE,Indica el tipo de operación de suma que realiza el cálculo,,,
option_1 ,Configuración del cálculo de acuerdo al tipo de cálculo de cada pregunta,Texto,Indican las reglas de cálculo para cada pregunta,,,
