variable,desc,alias,level,section,scale,subscale,aggregate,aggregate_ref,type,required,condition,sum_type,MAX,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
#,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS Scorer: 2020.01,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS: 6.3,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,MAX = ,,,63,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# STREETSCAPE,,,,,,,,,,MAX=,,,19,MIN=,-9,,,,,,,
## Streetscape Positive,,,,,,,,,,MAX=,,,19,,,,,,,,,
### Trash Cans,,,,,,,,,,,,,1,,,,,,,,,
Q_037,Basureros Públicos en Acera,seg_acera_basureros,segment,streetscape,streetscape_positive,trash_cans,TRUE,,numeric,TRUE,,positive,1,(>0)=1,*=0,,,,,,,
Q_037_l,Basureros Públicos en Acera - Lado izquierdo,seg_acera_basureros_izq,segment,streetscape,streetscape_positive,trash_cans,,Q_037,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
Q_037_r,Basureros Públicos en Acera - Lado derecho,seg_acera_basureros_der,segment,streetscape,streetscape_positive,trash_cans,,Q_037,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
### Benches,,,,,,,,,,,,,1,,,,,,,,,
Q_038,Bancas en Acera,seg_acera_bancas,segment,streetscape,streetscape_positive,benches,TRUE,,numeric,TRUE,,positive,1,(>0)=1,*=0,,,,,,,
Q_038_l,Bancas - Lado izquierdo,seg_acera_bancas_izq,segment,streetscape,streetscape_positive,benches,,Q_038,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
Q_038_r,Bancas - Lado derecho,seg_acera_bancas_der,segment,streetscape,streetscape_positive,benches,,Q_038,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
### Bicycle parking,,,,,,,,,,,,,1,,,,,,,,,
Q_039,Parqueaderos de Bicicletas,seg_acera_parqueo_bici,segment,streetscape,streetscape_positive,bicycle_parking,TRUE,,numeric,TRUE,,positive,1,(>0)=1,*=0,,,,,,,
Q_039_l,Parqueaderos de Bicicletas - Lado izquierdo,seg_acera_parqueo_bici_izq,segment,streetscape,streetscape_positive,bicycle_parking,,Q_039,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
Q_039_r,Parqueaderos de Bicicletas - Lado derecho,seg_acera_parqueo_bici_der,segment,streetscape,streetscape_positive,bicycle_parking,,Q_039,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
### Bus stops,,,,,,,,,,,,,2,,,,,,,,,
Q_043,Número de paradas de transporte público,seg_acera_parqueo_bici,segment,streetscape,streetscape_positive,bus_stops,TRUE,,numeric,TRUE,,positive,2,(<1)=0,"(>=1,<=1)=1",(>=2)=2,*=0,,,,,
Q_043_l,Número de paradas de transporte público - Lado izquierdo,seg_acera_num_paradas,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_043_r,Número de paradas de transporte público - Lado derecho,seg_acera_num_paradas,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_044_l,No. de Bancas en la parada de bus - Lado izquierdo,seg_acera_num_bancas_parada,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_044_r,No. de Bancas en la parada de bus - Lado derecho,seg_acera_num_bancas_parada,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_045_l,No. de Cubiertas en la parada de bus - Lado izquierdo,seg_acera_num_cubiertas_parada,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_045_r,No. de Cubiertas en la parada de bus - Lado derecho,seg_acera_num_cubiertas_parada,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_046_l,No. de Informacion en la parada de bus - Lado izquierdo,seg_acera_num_info_parada,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
Q_046_r,No. de Informacion en la parada de bus - Lado derecho,seg_acera_num_info_parada,segment,streetscape,streetscape_positive,bus_stops,,Q_043,formula,TRUE,,positive,,[value],,,,,,,,
### Traffic control,,,,,,,,,,,,,2,,,,,,,,,
Q_066_TC,Control de Tráfico,seg_control_trafico,segment,streetscape,streetscape_positive,traffic_control ,TRUE,,numeric,TRUE,,positive,2,"(>=1,<=1)=1",(>=2)=2,*=0,,,,,,
Q_066,Señal de velocidad máxima,seg_senal_velocidad,segment,streetscape,streetscape_positive,traffic_control ,,Q_066_TC,numeric,TRUE,,positive,,"(>=1,<=1)=1",*=0,,,,,,,
Q_067,Rompevelocidades,seg_rompevelocidades,segment,streetscape,streetscape_positive,traffic_control ,,Q_066_TC,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_068,Señal de rompevelocidades,seg_señal_rompevelocidades,segment,streetscape,streetscape_positive,traffic_control ,,Q_066_TC,bool,TRUE,,positive,,True=1,False=0,,,,,,,
### Lighting,,,,,,,,,,,,,1,,,,,,,,,
Q_040,Luminarias,seg_acera_luminarias,segment,streetscape,streetscape_positive,lighting,TRUE,,numeric,TRUE,,positive,1,(>=1)=1,*=0,,,,,,,
Q_040_l,Luminarias - Lado izquierdo,seg_acera_luminarias_izq,segment,streetscape,streetscape_positive,lighting,,Q_040,formula,TRUE,,positive,,([value]/[segment_length])*100,,,,,,,,
